DAYID,CONTRACT,DATASOURCE,CHANNEL_NAME,CO_CODE,CATEGORY,CUSTOMER,PRODUCT_CODE,CURRENCY,CLOSE_BAL,CLOSE_BAL_LCY,AGG_BAL_MTD,AGG_BAL_MTD_LCY,AGG_BAL_YTD,AGG_BAL_YTD_LCY,AGG_BAL,TOT_INTEREST_AMT,REVAL_RATE,INTEREST_RATE,ACCR_INT,ACCR_REMAIN,REMAIN_TERM,WORKING_BALANCE,DATE_LAST_CR_CUST,DATE_LAST_DR_CUST,DATE_LAST_CR_BANK,DATE_LAST_DR_BANK,DATE_LAST_CR_AUTO,DATE_LAST_DR_AUTO,LIMIT_ID,LINE_NO,CAMPAIGN_ID,SETLEMENT_AC,CLOSE_REASON,TERM,TERM_SBV,ROLLOVER_TERM,ORIG_INTEREST_RATE,OFFER_RATE,FIRST_INTEREST,FIRST_BALANCE,AGG_BAL_INTEREST,INTEREST_BAL,SEAB_SALES_TYPE,SEAB_SALES_ID,SEAB_BROKERS_TYPE,SEAB_BROKERS_ID,TOTAL_LOCKED_AMT,SEAB_LOS_ID,AC_TRANS_LIMIT_SK,CUSTOMER_SK,CATEGORY_SK,PRODUCTS_SK,COMPANY_SK,CURRENCY_SK,CHANNEL_SK,CONTRACT_SK,ONLINE_ACTUAL_BAL,SUB_CHANNEL_ID,FREQUENCY_DATE,FAVORITE_TERM,OPEN_ACTUAL_BAL,ONLINE_CLEARED_BAL
2025-03-25,00062588449886,SC,ARCIB,VN0010111,15074,86038144,2141,VND,180189974019.57,806053229696,8477609732228,0.74,45305847497740.66,42902051250064.34,44902974198784,1426560052,96.91,97.54,17497375280.21,42696361472,M06,384905710353.65,2022-02-17,2019-07-02,,,2024-04-18,,,3240.0,,,,M12,M18,013M,34.86,1.24,65.5,4325521178116,73078191350408.64,75347267.0,TELLER,20624003.0,NHANVIEN,48312065.0,230304036928.0,,2.0,17909506,3778,6787653,884689,29289,617.0,29484,714691201668,,,,638699745047.54,881449819011
2025-03-25,000042234991626,LD,BRANCH,VN0010470,10885,44131845,2141,USD,898197403201.61,177714544774,15031630281991,3.68,80139676306063.48,67344791425804.26,419805044376066,1032587654,54.35,2.9,3383816347.45,46417854977,D16,880091781232.12,2021-11-30,,,,2023-04-14,,,3297.0,SEA.TG.TAILOC,,,M12,M18,,3.21,76.7,35.68,6646179388933,478914815346731.5,71122504.0,RM,10226307.0,KHACHHANG,,236181810881.0,,2.0,30114693,3332,6787653,5722863,40884,299.0,19187,11133223173,,,,605334343308.93,657364899203
2025-03-25,93600640881,AZ,SEANET,VN0010601,17479,40074120,2141,VND,446318145309.27,307753174920,13784736864776,4.14,53818295664030.02,50691069135027.96,254355761913858,1426560052,96.91,69.9,13181181973.51,23503441921,M02,435495232787.77,2022-10-19,2019-07-26,,,2023-11-26,,,3209.0,SEAB.TG.2017.1,,,M12,M18,,35.94,13.64,37.24,7614627153415,401512077150933.06,24019274.0,CRO.IND,39767814.0,CONGTACVIEN,30916874.0,220999892545.0,,2.0,13442182,4646,6787653,244388,29289,495.0,26636,425394321546,,,,586292254736.49,562624318211
2025-03-25,48089497757,AZ,PHOIAO,VN0010069,7177,88779913,2141,VND,406201825357.17,892800825226,14482061462026,4.5,36440438548680.83,18261554449673.57,349151392674308,1426560052,54.35,38.17,27620033466.47,54962677251,M02,294973347133.96,2025-03-14,2019-03-09,,,2024-12-22,,,3276.0,SEAB.TG.TAILOC,,,M12,M18,,,78.59,6.52,1603861362696,386682881748199.9,19608691.0,,20307978.0,KHACHHANGUYTIN,37204619.0,130381670179.0,,2.0,19219717,5257,6787653,2624553,29289,82.0,11558,750739773581,,,,662389344701.19,826595978630
2025-03-25,049365387477,AZ,BRANCH,VN0010601,20620,5520658,2141,VND,659150122242.44,669579927565,4846033834123,4.49,8258864032273.39,,404851756435973,1032587654,54.35,39.71,56951507462.49,45893922307,M06,655691306548.96,2021-04-19,2024-04-16,,,2023-12-07,,,3209.0,,,,M12,M18,,9.52,50.47,8.71,902812967439,192538937728348.06,3703572.0,VCRO,31343886.0,NHANVIEN,9474831.0,8084321667.0,,2.0,29608584,2958,6787653,5722863,40884,116.0,26813,345469281039,,,,35344140069.33,813351493383
2025-03-25,0069948137344,SC,BRANCH,VN0010601,18413,96286356,2141,VND,787063924753.42,754749047058,5577680701067,4.74,58800573156056.04,14976495645635.55,132796330587652,1426560052,54.35,49.13,5694822100.3,55159144964,M06,80952718973.48,2022-07-09,,,,,,,3240.0,SEAB.TAILOC.TG,,,M12,M18,,74.7,84.71,8.27,4160883174928,146705315970456.3,43534869.0,CRO.SME,16297232.0,NHANVIEN,48837264.0,1351659998.0,,2.0,26038665,750,6787653,884689,29289,495.0,21295,181655658767,,,469.0,397981500211.07,879676447248
2025-03-25,022764077509,AZ,BRANCH,VN0010069,8524,19226005,2141,VND,347298571783.41,278592189332,7918895264782,10.21,9463720074967.44,,218472197690887,1032587654,96.91,22.48,15547586306.94,56363985926,M02,506261894676.87,2021-09-27,,,,,,,3209.0,,,,M12,M18,012M,11.1,,72.45,5590149893140,207728339277085.47,71122504.0,CRO.SME,39621271.0,NHANVIEN,30088335.0,768411208.0,,2.0,29874182,720,6787653,244388,29289,495.0,12495,191185458456,,,,323999116209.33,238505083409
2025-03-25,88949877727,AZ,BRANCH,VN0010069,18415,7717402,2141,VND,852014717977.78,491753088407,8241523793297,13.79,75624431609356.45,3086463132543.47,132501511162891,1426560052,54.35,57.7,28593790390.64,37509593602,D16,735066056037.7,2024-05-19,,,,,,,3297.0,SEAB.TGDNL,,,M12,M18,0024M,45.14,13.64,42.54,3526441289750,478872027922900.4,43534869.0,CRO.SME,2462238.0,NHANVIEN,47331089.0,58003646639.0,,2.0,14966287,2928,6787653,884689,29289,116.0,25049,584652568857,,,,653123890459.65,314172496787
2025-03-25,000044331105114,AZ,BRANCH,VN0010069,9299,22114074,2141,VND,21970630250.86,98797653146,6550089418514,15.9,36742931366010.3,63364632716301.62,386950322889739,1426560052,54.35,63.75,31821694179.92,15000731144,M06,878418897070.81,2021-05-06,,,,2024-04-14,,,3276.0,TG.PHATLOC.CBD.2022,,,M12,M18,013M,80.72,78.59,83.15,1348494018582,259367693152482.3,43534869.0,TELLER,34339873.0,NHANVIEN,,109427757296.0,,2.0,9244177,4590,6787653,5722863,29289,299.0,24609,436346663322,,,,309189653028.61,415550041627
2025-03-25,089172938308,SC,BRANCH,VN0010601,9748,89685404,2141,VND,823588504392.7,348467059742,16778980222867,17.28,54081593532416.31,30441952568668.38,161199696837133,1032587654,54.35,95.13,35355489546.37,21394138122,M06,542024222978.13,2021-06-12,,,,2023-01-18,,,3276.0,CBD.TG.PHATLOC.2022,,,M12,M18,,18.55,1.24,26.96,1208118133280,170523591833741.56,71122504.0,RM,2440227.0,NHANVIEN,45665945.0,208048930289.0,,2.0,28991635,4244,6787653,2624553,29289,299.0,27289,854353528475,,,,528718663174.09,327616150047
